"k","max_depth","F1"
"5","5",0.523560209424084
"5","5",0.481283422459893
"5","5",0.48936170212766
"5","5",0.510416666666667
"5","5",0.525773195876289
"5","5",0.478723404255319
"5","5",0.456521739130435
"5","5",0.428571428571429
"5","5",0.512820512820513
"5","5",0.528497409326425
"5","5",0.473118279569892
"5","5",0.533333333333333
"5","5",0.424581005586592
"5","5",0.465608465608466
"5","5",0.462365591397849
"5","5",0.456521739130435
"5","5",0.50261780104712
"5","5",0.462365591397849
"5","5",0.411111111111111
"5","5",0.478723404255319
"5","5",0.543589743589744
"5","5",0.5
"5","5",0.486772486772487
"5","5",0.540816326530612
"5","5",0.558375634517767
"5","5",0.464864864864865
"5","5",0.395480225988701
"5","5",0.404494382022472
"5","5",0.543589743589744
"5","5",0.443243243243243
"5","5",0.528497409326425
"5","5",0.448087431693989
"5","5",0.467391304347826
"5","5",0.386363636363636
"5","5",0.510416666666667
"5","5",0.507936507936508
"5","5",0.513089005235602
"5","5",0.483870967741936
"5","5",0.473118279569892
"5","5",0.473118279569892
"5","5",0.422222222222222
"5","5",0.464864864864865
"5","5",0.48936170212766
"5","5",0.50261780104712
"5","5",0.464864864864865
"5","5",0.520833333333333
"5","5",0.5
"5","5",0.417582417582418
"5","Unlimited",0.832
"5","Unlimited",0.815384615384615
"5","Unlimited",0.823045267489712
"5","Unlimited",0.803212851405622
"5","Unlimited",0.806451612903226
"5","Unlimited",0.795081967213115
"5","Unlimited",0.818897637795276
"5","Unlimited",0.848
"5","Unlimited",0.817813765182186
"5","Unlimited",0.831372549019608
"5","Unlimited",0.795180722891566
"5","Unlimited",0.790123456790123
"5","Unlimited",0.824
"5","Unlimited",0.833976833976834
"5","Unlimited",0.819672131147541
"5","Unlimited",0.785123966942149
"5","Unlimited",0.809716599190283
"5","Unlimited",0.83206106870229
"5","Unlimited",0.781893004115226
"5","Unlimited",0.785425101214575
"5","Unlimited",0.770491803278688
"5","Unlimited",0.790322580645161
"5","Unlimited",0.86046511627907
"5","Unlimited",0.816
"5","Unlimited",0.835341365461847
"5","Unlimited",0.803149606299213
"5","Unlimited",0.875
"5","Unlimited",0.768595041322314
"5","Unlimited",0.809716599190283
"5","Unlimited",0.796680497925311
"5","Unlimited",0.776470588235294
"5","Unlimited",0.775
"5","Unlimited",0.811244979919679
"5","Unlimited",0.793650793650794
"5","Unlimited",0.841269841269841
"5","Unlimited",0.778242677824268
"5","Unlimited",0.838709677419355
"5","Unlimited",0.854901960784314
"5","Unlimited",0.816
"5","Unlimited",0.822134387351779
"5","Unlimited",0.796747967479675
"5","Unlimited",0.817460317460318
"5","Unlimited",0.788381742738589
"5","Unlimited",0.806584362139918
"5","Unlimited",0.798449612403101
"5","Unlimited",0.830645161290323
"5","Unlimited",0.796812749003984
"5","Unlimited",0.758333333333333
"5","Unlimited",0.853846153846154
"5","Unlimited",0.765432098765432
"10","3",0.0547945205479452
"10","3",0.0277777777777778
"10","3",0.0810810810810811
"10","3",0.0547945205479452
"10","3",0.0277777777777778
"10","3",NA
"10","3",NA
"10","3",NA
"10","3",0.0555555555555556
"10","3",0.028169014084507
"10","3",NA
"10","3",0.106666666666667
"10","3",0.0810810810810811
"10","3",0.0547945205479452
"10","3",0.0277777777777778
"10","3",0.0277777777777778
"10","3",0.0547945205479452
"10","3",0.028169014084507
"10","3",0.028169014084507
"10","3",0.0555555555555556
"10","3",0.0547945205479452
"10","3",0.106666666666667
"10","3",0.0810810810810811
"10","3",NA
"10","3",0.0547945205479452
"10","3",NA
"10","3",0.0547945205479452
"10","3",0.0555555555555556
"10","3",0.0555555555555556
"10","3",NA
"10","3",0.106666666666667
"10","3",0.0810810810810811
"10","3",0.0277777777777778
"10","3",NA
"10","3",0.0277777777777778
"10","3",0.0277777777777778
"10","3",0.0547945205479452
"10","3",NA
"10","3",0.0555555555555556
"10","3",0.0555555555555556
"10","3",0
"10","3",0.0547945205479452
"10","3",0.0547945205479452
"10","3",0.0547945205479452
"10","3",0.0277777777777778
"10","3",0.0547945205479452
"10","3",0.0810810810810811
"10","3",0.0555555555555556
"10","3",0.0555555555555556
"10","3",NA
"10","3",0.08
"10","3",0.0547945205479452
"10","3",0.0277777777777778
"10","3",0.0277777777777778
"10","3",NA
"10","3",0.0547945205479452
"10","3",0.106666666666667
"10","3",0.028169014084507
"10","3",0.0555555555555556
"10","3",0.028169014084507
"10","3",0.0810810810810811
"10","3",0.105263157894737
"10","3",NA
"10","3",NA
"10","3",0.0547945205479452
"10","3",0.0547945205479452
"10","3",NA
"10","3",0.0821917808219178
"10","3",NA
"10","3",0.0555555555555556
"10","3",0.0277777777777778
"10","3",0.0277777777777778
"10","3",0.0547945205479452
"10","3",0.0547945205479452
"10","3",NA
"10","3",0.0547945205479452
"10","3",0.0547945205479452
"10","3",0.028169014084507
"10","3",0.028169014084507
"10","3",0.108108108108108
"10","3",0.0810810810810811
"10","3",0.0277777777777778
"10","3",0.0547945205479452
"10","3",0.0810810810810811
"10","3",0.0277777777777778
"10","3",NA
"10","3",NA
"10","3",0.028169014084507
"10","3",0.0555555555555556
"10","3",0.0821917808219178
